Id,Expected
a6e51d077bad31c8c5f54ffaa27a6235_1,382221 5 383501 5 384781 5 386036 35 386076 5 386086 5 386096 35 387316 35 387356 5 387366 5 387376 35 388596 35 388636 5 388646 5 388656 35 389876 35 389916 5 389926 5 389936 35 391146 110 392426 110 393706 110 394986 110 396256 125 397536 125 398816 125 400096 125 401371 130 402651 130 403931 130 405211 130 406486 145 406636 5 406646 5 407766 145 407916 5 407926 5 409046 145 409196 5 409206 5 410326 145 410476 5 410486 5 411561 15 411601 185 412841 15 412881 185 414121 15 414161 185 415396 25 415441 190 416676 25 416721 190 417956 25 418001 190 419236 25 419281 190 420506 40 420556 200 421786 40 421836 200 423066 40 423116 200 424346 40 424396 200 425611 270 426891 270 428171 270 429451 270 430721 285 432001 285 433281 285 434561 285 435836 295 437116 295 438396 295 439671 300 440951 300 442231 300 443511 300 444791 300 446071 300 447351 300 448631 300 449906 305 451186 305 452466 305 453746 305 455026 305 456306 305 457586 305 458866 305 460141 310 461421 310 462701 310 463981 310 465261 310 466541 310 467821 310 469096 315 470376 315 471656 315 472936 315 474216 315 475496 315 476776 315 478056 315 479336 315 480616 315 481896 315 483176 315 484451 320 485731 320 487011 320 488291 320 489571 320 490851 320 492131 320 493411 320 494691 320 495971 320 497251 320 498531 315 499811 315 501091 315 502371 315 503651 315 504931 315 506211 315 507491 315 508771 315 510051 315 511331 315 512611 315 513891 315 515171 315 516451 315 517731 315 519011 315 520291 315 521571 315 522851 315 524131 315 525411 315 526691 315 527971 315 529251 315 530531 315 531811 315 533096 305 534376 305 535656 305 536936 305 538216 305 539496 305 540776 305 542056 305 543336 300 544616 300 545896 300 547176 300 548456 300 549736 300 551016 300 552296 295 553576 295 554856 295 556136 295 557421 285 558701 285 559981 285 561261 285 562541 280 563821 280 565101 280 566381 280 567661 280 568941 280 570221 280 571501 280 572786 270 574066 270 575346 270 576626 270 577906 270 579186 270 580466 270 581751 260 583031 260 584311 260 585591 260 586871 260 588151 260 589431 260 590711 260 591996 250 593276 250 594556 250 595836 250 597121 240 598401 240 599681 240 600966 235 602246 235 603526 235 604806 235 606091 225 607371 225 608651 225 609931 225 611216 220 612496 220 613776 220 615056 220 616346 205 617626 205 618906 205 620186 205 621471 200 622751 200 624031 200 625316 190 626596 190 627876 190 629156 190 630441 185 631721 185 633001 185 634281 185 635566 175 636846 175 638126 175 639406 175 640691 165 641971 165 643251 165 644531 165 645816 155 647096 155 648376 155 649656 155 650941 145 652221 145 653501 145 654786 135 656066 135 657346 135 658626 135 659916 120 661196 120 662476 120 663756 120 665041 110 666321 110 667601 110 668881 110 670166 100 671446 100 672726 100 674006 100 675291 90 676571 90 677851 90 679141 70 680421 70 681701 70 682981 70 684266 50 685546 50 686826 50 688106 50
4e2a6e51d077bad31c8c5f54ffaa27a6_0,
4e2a6e51d077bad31c8c5f54ffaa27a6_1,342221 5 343501 5 344781 5 346061 5 347331 30 348611 30 349891 30 351171 30 352441 50 353721 50 355001 50 356281 50 357561 60 358841 60 360121 60 361396 75 362676 75 363956 75 365236 75 366516 80 367796 80 369076 80 370356 80 371631 90 372911 90 374191 90 375471 90 376751 90 378031 90 379311 90 380591 90 381871 95 383151 95 384431 95 385711 95 386991 95 388271 95 389551 95 390826 100 392106 100 393386 100 394666 100 395946 100 397226 100 398506 100 399786 100 401066 105 402346 105 403626 105 404906 105 406186 105 407466 105 408746 105 410026 105 411306 105 412586 105 413866 105 415146 105 416426 105 417706 105 418986 105 420271 105 421551 105 422831 105 424111 105 425391 105 426671 105 427951 105 429231 105 430511 105 431791 105 433071 105 434351 105 435636 105 436916 105 438196 105 439476 105 440756 105 442036 105 443316 105 444601 100 445881 100 447161 100 448441 100 449721 105 451001 105 452281 105 453561 105 454846 100 456126 100 457406 100 458686 100 459971 95 461251 95 462531 95 463811 95 465091 95 466371 95 467651 95 468941 85 470221 85 471501 85 472781 85 474066 80 475346 80 476626 80 477906 80 479191 70 480471 70 481751 70 483031 70 484321 55 485601 55 486881 55 488161 55 489461 25 490741 25 492021 25
fe1f119f21b248d152b672ab3492fc62_0,552116 45 553396 45 554676 45 555956 45 557211 80 558491 80 559771 80 561041 95 562321 95 563601 95 564881 95 566156 105 567436 105 568716 105 569996 105 571271 120 572551 120 573831 120 575111 120 576391 125 577671 125 578951 125 580226 135 581506 135 582786 135 584066 135 585346 145 586626 145 587906 145 589186 145 590461 155 591741 155 593021 155 594301 155 595576 170 596856 170 598136 170 599416 175 600696 175 601976 175 603256 175 604536 180 605816 180 607096 180 608376 180 609651 195 610931 195 612211 195 613491 195 614771 200 616051 200 617331 200 618606 210 619886 210 621166 210 622446 210 623726 215 625006 215 626286 215 627566 215 628846 220 630126 220 631406 220 632686 225 633966 225 635246 225 636526 225 637801 235 639081 235 640361 235 641641 235 642921 235 644201 235 645481 235 646761 235 648041 240 649321 240 650601 240 651881 245 653161 245 654441 245 655721 245 657001 245 658281 245 659561 245 660841 245 662121 250 663401 250 664681 250 665961 250 667241 255 668521 255 669801 255 671081 255 672361 255 673641 255 674921 255 676206 255 677486 255 678766 255 680046 255 681326 255 682606 255 683886 255 685166 255 686446 255 687726 255 689006 255 690286 260 691566 260 692846 260 694126 260 695406 260 696686 260 697966 260 699246 260 700526 260 701806 260 703086 260 704366 260 705646 260 706926 260 708206 260 709486 265 710766 265 712046 265 713326 265 714601 270 715881 270 717161 270 718441 270 719726 265 721006 265 722286 265 723566 265 724841 270 726121 270 727401 270 728686 265 729966 265 731246 265 732526 265 733806 265 735086 265 736366 265 737646 265 738931 260 740211 260 741491 260 742771 260 744056 255 745336 255 746616 255 747901 250 749181 250 750461 250 751741 250 753026 245 754306 245 755586 245 756866 245 758151 240 759431 240 760711 240 761991 240 763276 235 764556 235 765836 235 767121 230 768401 230 769681 230 770961 230 772246 220 773526 220 774806 220 776086 220 777371 215 778651 215 779931 215 781211 215 782496 210 783776 210 785056 210 786346 200 787626 200 788906 200 790186 200 791466 200 792746 200 794026 200 795306 200 796591 195 797871 195 799151 195 800431 195 801721 180 803001 180 804281 180 805566 170 806846 170 808126 170 809406 170 810691 160 811971 160 813251 160 814531 160 815821 140 817101 140 818381 140 819661 140 820951 130 822231 130 823511 130 824821 95 826101 95 827381 95 828661 95 829951 80 831231 80 832511 80 833791 80 835076 70 836356 70 837636 70 838916 70 840206 45 841486 45 842766 45
fe1f119f21b248d152b672ab3492fc62_1,
780fd497e1c0e9082ea2c193ac8d551c_0,408966 10 410246 10 411526 10 412806 10 414071 40 415351 40 416631 40 417901 65 419181 65 420461 65 421741 65 423016 75 424296 75 425576 75 426856 75 428126 95 429406 95 430686 95 431966 95 433241 105 434521 105 435801 105 437081 105 438351 125 439631 125 440911 125 442191 125 443466 130 444746 130 446026 130 447306 130 448581 140 449861 140 451141 140 452421 140 453701 145 454981 145 456261 145 457541 145 458816 150 460096 150 461376 150 462656 155 463936 155 465216 155 466496 155 467771 160 469051 160 470331 160 471611 160 472891 160 474171 160 475451 160 476731 160 478011 160 479291 160 480571 160 481851 160 483126 170 484406 170 485686 170 486966 170 488246 170 489526 170 490806 170 492086 170 493366 170 494646 170 495926 170 497206 170 498486 170 499766 170 501046 170 502326 170 503606 170 504886 170 506166 170 507446 170 508726 170 510006 170 511286 170 512566 170 513846 170 515126 170 516406 170 517686 170 518966 170 520246 170 521526 170 522811 165 524091 165 525371 165 526651 165 527931 160 529211 160 530491 160 531771 160 533051 160 534331 160 535611 160 536891 160 538176 155 539456 155 540736 155 542016 155 543296 150 544576 150 545856 150 547136 150 548421 145 549701 145 550981 145 552261 140 553541 140 554821 140 556101 140 557386 130 558666 130 559946 130 561226 130 562511 120 563791 120 565071 120 566351 120 567636 110 568916 110 570196 110 571476 110 572756 105 574036 105 575316 105 576596 105 577881 95 579161 95 580441 95 581721 95 583001 90 584281 90 585561 90 586841 90 588126 80 589406 80 590686 80 591966 80 593256 60 594536 60 595816 60 597106 40 598386 40 599666 40 600946 40
780fd497e1c0e9082ea2c193ac8d551c_1,
3425b976973f13dd311a65d2b46d0a60_0,503596 30 504876 30 506156 30 507436 30 508706 70 509986 70 511266 70 512546 70 513816 115 515096 115 516376 115 517656 115 518926 135 520206 135 521486 135 522756 160 524036 160 525316 160 526596 160 527871 175 529151 175 530431 175 531711 175 532991 180 534271 180 535551 180 536831 180 538106 190 539386 190 540666 190 541946 195 543226 195 544506 195 545786 195 547061 205 548341 205 549621 205 550901 205 552181 205 553461 205 554741 205 556021 205 557296 215 558576 215 559856 215 561136 220 562416 220 563696 220 564976 220 566256 235 567536 235 568816 235 570096 235 571376 250 572656 250 573936 250 575216 250 576496 265 577776 265 579056 265 580331 280 581611 280 582891 280 584171 280 585451 285 586731 285 588011 285 589291 285 590571 290 591851 290 593131 290 594411 290 595691 295 596971 295 598251 295 599531 295 600811 295 602091 295 603371 295 604651 300 605931 300 607211 300 608491 300 609771 300 611051 300 612331 300 613611 300 614896 300 616176 300 617456 300 618736 300 620016 300 621296 300 622576 300 623856 300 625136 300 626416 300 627696 300 628976 305 630256 305 631536 305 632816 305 634096 305 635376 305 636656 305 637941 300 639221 300 640501 300 641781 300 643061 300 644341 300 645621 300 646901 300 648181 305 649461 305 650741 305 652026 300 653306 300 654586 300 655866 300 657146 300 658426 300 659706 300 660986 300 662266 300 663546 300 664826 300 666106 300 667391 295 668671 295 669951 295 671231 295 672511 295 673791 295 675071 295 676356 295 677636 295 678916 295 680196 295 681476 295 682756 295 684036 295 685316 295 686596 295 687876 295 689156 295 690441 295 691721 295 693001 295 694281 295 695566 290 696846 290 698126 290 699406 290 700691 285 701971 285 703251 285 704531 285 705816 280 707096 280 708376 280 709666 275 710946 275 712226 275 713506 275 714791 270 716071 270 717351 270 718631 270 719916 265 721196 265 722476 265 723756 265 725036 265 726316 265 727596 265 728886 255 730166 255 731446 255 732726 255 734011 250 735291 250 736571 250 737851 250 739136 245 740416 245 741696 245 742976 245 744261 240 745541 240 746821 240 748106 230 749386 230 750666 230 751946 230 753231 225 754511 225 755791 225 757071 225 758356 220 759636 220 760916 220 762196 220 763481 210 764761 210 766041 210 767336 195 768616 195 769896 195 771176 195 772466 180 773746 180 775026 180 776306 180 777596 170 778876 170 780156 170 781436 170 782721 165 784001 165 785281 165 786566 155 787846 155 789126 155 790406 155 791691 150 792971 150 794251 150 795531 150 796816 140 798096 140 799376 140 800656 140 801946 125 803226 125 804506 125 805796 110 807076 110 808356 110 809636 110 810931 80 812211 80 813491 80 814771 80 816061 60 817341 60 818621 60 819901 60 821196 35 822476 35 823756 35
3425b976973f13dd311a65d2b46d0a60_1,
461c2a337948a41964c1d4f50a5f3601_0,348951 5 348961 5 350231 5 350241 5 351511 5 351521 5 352791 5 352801 5 354051 50 355331 50 356611 50 357891 50 359161 75 360441 75 361721 75 363001 75 364276 85 365556 85 366836 85 368116 85 369386 105 370666 105 371946 105 373226 105 374506 110 375786 110 377066 110 378341 120 379621 120 380901 120 382181 120 383456 125 384736 125 386016 125 387296 125 388571 135 389851 135 391131 135 392411 135 393686 140 394966 140 396246 140 397526 140 398806 145 400086 145 401366 145 402646 145 403926 145 405206 145 406486 145 407766 145 409041 150 410321 150 411601 150 412881 150 414161 150 415441 150 416721 150 417996 160 419276 160 420556 160 421836 160 423116 160 424396 160 425676 160 426956 160 428236 160 429516 160 430796 160 432076 160 433351 170 434631 170 435911 170 437191 170 438471 170 439751 170 441031 170 442311 170 443591 170 444871 170 446151 170 447431 170 448711 170 449991 170 451271 170 452551 170 453826 175 455106 175 456386 175 457666 175 458946 175 460226 175 461506 175 462786 175 464066 175 465346 175 466626 175 467906 175 469186 175 470466 175 471746 175 473026 175 474306 175 475586 175 476866 175 478146 175 479426 175 480706 175 481986 175 483266 180 484546 180 485826 180 487106 180 488386 180 489666 180 490946 180 492226 180 493506 180 494786 180 496066 180 497346 180 498621 185 499901 185 501181 185 502461 185 503741 190 505021 190 506301 190 507581 185 508861 185 510141 185 511421 185 512701 185 513981 185 515261 185 516541 185 517821 185 519101 185 520381 185 521661 185 522941 185 524221 185 525501 185 526781 185 528061 185 529341 185 530621 185 531901 185 533181 185 534461 185 535741 185 537021 185 538301 180 539581 180 540861 180 542141 180 543421 180 544701 180 545981 180 547261 180 548541 180 549821 180 551101 180 552381 175 553661 175 554941 175 556221 175 557501 175 558781 175 560061 175 561341 175 562621 170 563901 170 565181 170 566461 170 567741 170 569021 170 570301 170 571581 170 572861 170 574141 170 575421 170 576701 170 577986 160 579266 160 580546 160 581826 160 583106 155 584386 155 585666 155 586946 155 588226 150 589506 150 590786 150 592066 150 593346 140 594626 140 595906 140 597186 135 598466 135 599746 135 601026 135 602306 130 603586 130 604866 130 606146 130 607431 115 608711 115 609991 115 611271 115 612551 110 613831 110 615111 110 616391 110 617676 100 618956 100 620236 100 621516 100 622796 95 624076 95 625356 95 626636 95 627921 85 629201 85 630481 85 631761 85 633041 85 634321 85 635601 85 636886 80 638166 80 639446 80 640726 80 642011 75 643291 75 644571 75 645851 75 647136 65 648416 65 649696 65 650976 65 652261 55 653541 55 654821 55 656101 55
461c2a337948a41964c1d4f50a5f3601_1,
85a04faeeb2b535797395305af926a6f_0,522491 35 523771 35 525051 35 526331 35 527591 70 528871 70 530151 70 531431 70 532701 90 533981 90 535261 90 536541 90 537816 105 539096 105 540376 105 541656 105 542926 125 544206 125 545486 125 546766 125 548046 135 549326 135 550606 135 551881 145 553161 145 554441 145 555721 145 556996 155 558276 155 559556 155 560836 155 562111 165 563391 165 564671 165 565951 165 567226 175 568506 175 569786 175 571066 175 572346 180 573626 180 574906 180 576186 180 577461 185 578741 185 580021 185 581301 185 582576 195 583856 195 585136 195 586416 195 587696 200 588976 200 590256 200 591536 200 592816 200 594096 200 595376 200 596651 210 597931 210 599211 210 600491 210 601771 215 603051 215 604331 215 605611 215 606891 215 608171 215 609451 215 610731 215 612011 220 613291 220 614571 220 615851 220 617126 230 618406 230 619686 230 620966 230 622246 235 623526 235 624806 235 626086 235 627366 235 628646 235 629926 235 631206 235 632486 240 633766 240 635046 240 636326 245 637606 245 638886 245 640166 245 641446 250 642726 250 644006 250 645286 250 646566 255 647846 255 649126 255 650406 255 651686 255 652966 255 654246 255 655526 255 656811 255 658091 255 659371 255 660651 255 661931 260 663211 260 664491 260 665771 260 667056 255 668336 255 669616 255 670896 255 672176 260 673456 260 674736 260 676016 260 677301 260 678581 260 679861 260 681141 260 682421 260 683701 260 684981 260 686266 260 687546 260 688826 260 690106 260 691386 265 692666 265 693946 265 695226 265 696511 260 697791 260 699071 260 700351 260 701631 260 702911 260 704191 260 705471 260 706756 260 708036 260 709316 260 710596 260 711876 260 713156 260 714436 260 715716 260 717001 260 718281 260 719561 260 720841 260 722126 255 723406 255 724686 255 725966 255 727246 255 728526 255 729806 255 731091 255 732371 255 733651 255 734931 255 736216 250 737496 250 738776 250 740056 250 741336 255 742616 255 743896 255 745176 255 746461 250 747741 250 749021 250 750301 250 751586 250 752866 250 754146 250 755426 250 756706 255 757986 255 759266 255 760546 255 761831 250 763111 250 764391 250 765671 250 766951 255 768231 255 769511 255 770796 255 772076 255 773356 255 774636 255 775916 260 777196 260 778476 260 779756 260 781041 260 782321 260 783601 260 784881 260 786161 265 787441 265 788721 265 790001 265 791286 265 792566 265 793846 265 795126 265 796406 270 797686 270 798966 270 800246 270 801531 265 802811 265 804091 265 805371 265 806651 270 807931 270 809211 270 810491 270 811776 270 813056 270 814336 270 815616 270 816896 270 818176 270 819456 270 820741 270 822021 270 823301 270 824581 270 825861 275 827141 275 828421 275 829701 275 830986 270 832266 270 833546 270 834826 270 836106 275 837386 275 838666 275 839946 275 841231 270 842511 270 843791 270 845071 270 846356 270 847636 270 848916 270 850196 270 851476 270 852756 270 854036 270 855316 270 856601 270 857881 270 859161 270 860446 270 861726 270 863006 270 864286 270 865571 265 866851 265 868131 265 869411 265 870696 265 871976 265 873256 265 874536 265 875821 260 877101 260 878381 260 879661 260 880946 255 882226 255 883506 255 884786 255 886076 250 887356 250 888636 250 889916 250 891206 240 892486 240 893766 240 895046 240 896331 235 897611 235 898891 235 900181 225 901461 225 902741 225 904021 225 905306 220 906586 220 907866 220 909146 220 910431 215 911711 215 912991 215 914271 215 915556 180 915741 5 915751 15 916836 180 917021 5 917031 15 918116 180 918301 5 918311 15 919396 180 919581 5 919591 15 920681 165 920876 10 921961 165 922156 10 923241 165 923436 10 924521 165 924716 10 925806 150 926001 5 927086 150 927281 5 928366 150 928561 5 929646 150 929841 5 930931 140 932211 140 933491 140 934771 140 936056 130 937336 130 938616 130 939896 130 941176 115 942456 115 943736 115 945021 95 945121 5 946301 95 946401 5 947581 95 947681 5 948861 95 948961 5 950146 80 951426 80 952706 80 953986 80 955271 65 955341 5 956551 65 956621 5 957831 65 957901 5 959111 65 959181 5 960396 45 961676 45 962956 45 964236 45 965516 40 965561 5 966796 40 966841 5 968076 40 968121 5 969356 40 969401 5 970641 30 971921 30 973201 30 974481 30 975766 20 975791 5 977046 20 977071 5 978326 20 978351 5 979606 20 979631 5
